learning_rate,filters_conv1,units_dense1,dropout_rate,val_loss,val_accuracy,val_precision,val_recall,epochs_trained
0.0001,16,128,0.4,0.38628506660461426,0.824999988079071,0.7981651425361633,0.8700000047683716,30
0.001,32,128,0.2,0.2854641079902649,0.8824999928474426,0.9005235433578491,0.8600000143051147,30
0.001,16,64,0.2,0.4028477370738983,0.8125,0.8019323945045471,0.8299999833106995,13
1e-05,16,256,0.3,0.4629213809967041,0.7975000143051147,0.8361582159996033,0.7400000095367432,30
1e-05,64,64,0.4,0.5848153829574585,0.6675000190734863,0.691428542137146,0.6050000190734863,30
